time,format,font,color,data_unix,danmuchi,ID,rowID,danmu
0.90200,1,25,16777215,1520010543,0,31b4e2cc,4359984495,看了预告很精彩  没看直播来看回放
315.89600,1,25,16777215,1520010620,0,2bd96a73,4359987487,赞
10.68400,1,25,16777215,1520010762,0,4c95f917,4359992918,修仙福利
61.27200,5,25,15138834,1520010943,0,df797d3b,4359999519,第一是我
459.05600,1,25,16777215,1520010947,0,cfa272cf,4359999659,突然春晚感觉。。。。
937.62100,5,25,16777215,1520011356,0,cfa272cf,4360013977,把马头琴跟吉他一样弹，他们也是有才
1.96500,1,25,41194,1520011598,0,a7bd57e3,4360021841,修仙党无所畏惧
910.88400,1,25,16777215,1520011744,0,59e68396,4360026647,看到这么少人 我来支持一把吧
223.16600,1,25,16777215,1520012073,0,96214c1f,4360039037,哇！一上来就编钟大招
265.89100,1,25,16777215,1520012124,0,96214c1f,4360040596,这声音我以为唢呐
299.60600,1,25,16777215,1520012175,0,96214c1f,4360042178,方老上场
73.92500,1,25,16777215,1520012185,0,4bda89c4,4360042480,弹幕呢
927.16900,1,25,16777215,1520012212,0,beb458a5,4360043262,吱
915.00500,1,25,16777215,1520012301,0,31b4e2cc,4360045951,不配上蒙古族的歌声有点可惜
1457.33600,1,25,16777215,1520012636,0,341969c8,4360055745,感觉水晶的琵琶有点一言难尽。。。
816.05500,1,25,16777215,1520012698,0,96214c1f,4360057494,满满的心酸啊
266.95900,1,25,16777215,1520012878,0,c3a44bca,4360062567,零弹幕？
5.74300,1,25,16777215,1520012967,0,1f606d2c,4360065022,吼吼吼，终于播出了。我受龚老师感召而学爱民乐琵琶学，看节目。
105.13900,1,25,16777215,1520013019,0,7635f031,4360066461,陆春龄老先生！！！
257.02100,1,25,16777215,1520013122,0,7635f031,4360069184,陈军老师！！！
299.74600,1,25,16777215,1520013170,0,7635f031,4360070495,鸡皮疙瘩！！
385.90400,1,25,16777215,1520013262,0,7635f031,4360073053,好棒！！
297.53900,1,25,16777215,1520013290,0,d0a35884,4360073854,方老师
